symbol,scale,lag,acf
ethusdt,1min agg,7,0.05839044773436631
ethusdt,1min agg,8,0.009108017340661988
ethusdt,1min agg,9,0.04004141218848888
ethusdt,1min agg,10,0.01008995710963993
ethusdt,1min agg,11,0.051527523094235965
ethusdt,1min agg,12,0.046289972436979555
ethusdt,1min agg,13,0.04970837801784438
ethusdt,1min agg,14,-0.04237900699444158
ethusdt,1min agg,15,0.06009158959643117
ethusdt,1min agg,16,-0.015138152466362345
ethusdt,1min agg,17,-0.06595672267402772
ethusdt,1min agg,18,-0.057500548936379285
ethusdt,1min agg,19,0.028852105848799707
ethusdt,1min agg,20,-0.05283824105956824
ethusdt,1min agg,21,-0.10430618855182591
ethusdt,1min agg,22,0.028965325655609095
ethusdt,1min agg,23,0.06408430950998709
ethusdt,1min agg,24,0.027969128056473957
ethusdt,1min agg,25,0.005696721770437669
ethusdt,1min agg,26,0.03568363730587495
ethusdt,1min agg,27,-0.061344170554043134
ethusdt,1min agg,28,-0.1444789112312952
ethusdt,1min agg,29,0.023522059318098754
ethusdt,1min agg,30,-0.08145781257034622
ethusdt,1min agg,31,-0.01869422817157825
ethusdt,1min agg,32,0.019835195038486863
ethusdt,1min agg,33,-0.08879449145011081
ethusdt,1min agg,34,0.012242419760751749
ethusdt,1min agg,35,0.003754950234955614
ethusdt,1min agg,36,-0.035865094842210295
ethusdt,1min agg,37,0.011032016388218536
ethusdt,1min agg,38,0.024694365268970845
ethusdt,1min agg,39,-0.018977030755097175
ethusdt,1min agg,40,0.0027894190173001535
ethusdt,1min agg,41,0.015610038175009102
ethusdt,1min agg,42,0.092533359193802
ethusdt,1min agg,43,-0.060787652634801986
ethusdt,1min agg,44,-0.09326022827748813
ethusdt,1min agg,45,0.011576461844199887
ethusdt,1min agg,46,-0.01522603738258326
ethusdt,1min agg,47,0.010433686184350106
ethusdt,1min agg,48,0.06372730506358916
ethusdt,1min agg,49,0.11083795038293848
ethusdt,1min agg,50,-0.004009723855482138
ethusdt,1min agg,51,0.004934426871953781
ethusdt,1min agg,52,-0.0174646910198341
ethusdt,1min agg,53,-0.0309959869039009
ethusdt,1min agg,54,-0.02255172079984356
ethusdt,1min agg,55,0.07673477207133113
ethusdt,1min agg,56,0.05372510397693876
ethusdt,1min agg,57,0.02816263344400728
ethusdt,1min agg,58,0.05670788549893037
ethusdt,1min agg,59,-0.023297774135300802
