symbol,binance_buy_frac,bybit_buy_frac,binance_net_usd,bybit_net_usd
btcusdt,0.4455768913062817,0.36152719206966427,-179102020.13172996,-1443733047.2234
ethusdt,0.449098214153828,0.32491825414686454,-234220894.35554004,-937456900.7609
