symbol,quantile,spread_bps
btcusdt,0.5,0.010961420732301911
btcusdt,0.9,0.011234964106117478
btcusdt,0.99,0.011342079967995005
ethusdt,0.5,0.03341782473426406
ethusdt,0.9,0.03401389467671759
ethusdt,0.99,0.03434720559640842
