symbol,horizon_sec,binance_then_bybit_rate,bybit_then_binance_rate,bybit_events,binance_events
btcusdt,5,0.0005379828607979938,0.00040847435967650655,438216,236067
btcusdt,30,0.00027534555867613853,0.00013463680011683736,438216,236067
btcusdt,120,0.00016520733520568312,0.00010953502382386768,438216,236067
btcusdt,300,0.00013555473657902206,5.933147123792833e-05,438216,236067
ethusdt,5,0.00046529490834428867,0.00032102622486397756,302156,270796
ethusdt,30,0.00018833365337745018,0.0001820251790465852,302156,270796
ethusdt,120,7.754915139071478e-05,0.00011252465613788904,302156,270796
ethusdt,300,7.016351792493242e-05,5.626232806894452e-05,302156,270796
