symbol,venue,stream,p50_notional,p99_notional,max_notional,buy_frac
btcusdt,binance,liquidations,1131.2496,186129.1614499999,16341302.2311,0.4455768913062817
btcusdt,bybit,liquidations,1104.65,195016.95460999792,3452043.7570000007,0.36152719206966427
btcusdt,binance,trades_sample,223.905,38239.220195,4646341.5,0.49231
btcusdt,binance,bbo_sample,0.01049707315266144,0.010521337536167966,2.5077738365748563,
ethusdt,binance,liquidations,755.0408600000001,158741.60319999998,15482567.629269999,0.449098214153828
ethusdt,bybit,liquidations,899.5876000000001,178295.10383000068,3793962.7056000005,0.32491825414686454
ethusdt,binance,trades_sample,28.806540000000002,25314.641833200138,670262.17286,0.486455
ethusdt,binance,bbo_sample,0.032054107333878076,0.06651215892215984,5.623248864725735,
