symbol,n_common_sec,div_bps_mean,div_bps_std,div_bps_p99
btcusdt,57138,1.9069999002431972,16.636623186700152,81.6292935235609
ethusdt,52542,2.6472468963178457,18.40137320020251,77.70906503001181
