symbol,day,adf_stat,p_value,n
btcusdt,2025-12-15,0.10419310306616593,,86392
btcusdt,2026-01-10,0.08146509540035525,,86293
btcusdt,2026-02-10,0.06856724686788092,,86390
ethusdt,2025-12-15,0.05919632579729928,,86397
ethusdt,2026-01-10,0.06802428752382236,,86377
ethusdt,2026-02-10,0.033758605895991195,,86396
