ret_1s_bps,symbol,day
0.011349507516023039,btcusdt,2025-12-15
3.7566827243096235,btcusdt,2025-12-15
-2.949760473777152,btcusdt,2025-12-15
-1.8725157248766777,btcusdt,2025-12-15
2.9852355697057575,btcusdt,2025-12-15
2.076559220802743,btcusdt,2025-12-15
0.39707368042485314,btcusdt,2025-12-15
0.5899146155319279,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
-2.359519270637156,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.9758007097260268,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
-0.49919816295207475,btcusdt,2025-12-15
-0.48787710489217595,btcusdt,2025-12-15
-0.24962372060732818,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
1.077947519840805,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
1.3047431953383537,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.36301161240093194,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.8734649845476561,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.9074168281575368,btcusdt,2025-12-15
0.6124507841920313,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
1.474328259187807,btcusdt,2025-12-15
-0.48759053734248603,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.5329737839265825,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.7143735935777329,btcusdt,2025-12-15
-0.5782611234472768,btcusdt,2025-12-15
1.0885544733629793,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.5102043708649084,btcusdt,2025-12-15
-0.510178341341927,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
-0.1020408741725376,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
-1.111123078990639,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.7030335329982762,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
1.3492759547140132,btcusdt,2025-12-15
3.77519560444739,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
-0.39664259046112704,btcusdt,2025-12-15
-0.13599713952650028,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
-0.46466321266924737,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
2.6521035204396526,btcusdt,2025-12-15
-0.509884681081374,btcusdt,2025-12-15
2.198281601004659,btcusdt,2025-12-15
1.1102280895647354,btcusdt,2025-12-15
0.9062080347810308,btcusdt,2025-12-15
-0.3737769423806103,btcusdt,2025-12-15
1.6197606265655473,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.5096323342468345,btcusdt,2025-12-15
-1.879881250391735,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.48704875074800924,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
1.5177059082382982,btcusdt,2025-12-15
0.02264888955272326,btcusdt,2025-12-15
3.39732573842344,btcusdt,2025-12-15
0.7924401212422438,btcusdt,2025-12-15
-0.5093854264826003,btcusdt,2025-12-15
4.652623893093288,btcusdt,2025-12-15
0.656269323877634,btcusdt,2025-12-15
0.2319420393837035,btcusdt,2025-12-15
3.496020872035821,btcusdt,2025-12-15
2.160215614401828,btcusdt,2025-12-15
-0.7293393429397277,btcusdt,2025-12-15
-0.5880373969169295,btcusdt,2025-12-15
0.40712675382525987,btcusdt,2025-12-15
-1.9903164320422828,btcusdt,2025-12-15
-1.0858432619176295,btcusdt,2025-12-15
1.7646869179577251,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
-1.2328008726880668,btcusdt,2025-12-15
0.14704942500776141,btcusdt,2025-12-15
1.583585905859941,btcusdt,2025-12-15
0.5089291621507286,btcusdt,2025-12-15
-1.2666036757513766,btcusdt,2025-12-15
0.49765733464823825,btcusdt,2025-12-15
-1.5268272021795593,btcusdt,2025-12-15
2.1491960592801007,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
1.2440040418826293,btcusdt,2025-12-15
-2.600775822735324,btcusdt,2025-12-15
0.0,btcusdt,2025-12-15
1.8549486693864026,btcusdt,2025-12-15
2.3974157667394635,btcusdt,2025-12-15
-1.1305854454080055,btcusdt,2025-12-15
-1.0967918837401225,btcusdt,2025-12-15
0.859436356757115,btcusdt,2025-12-15
-2.8833873355971207,btcusdt,2025-12-15
-1.3572795141847394,btcusdt,2025-12-15
1.278278373961772,btcusdt,2025-12-15
-1.3572902604808146,btcusdt,2025-12-15
-0.6787372545868919,btcusdt,2025-12-15
-1.2218099870520138,btcusdt,2025-12-15
-0.8712117140630138,btcusdt,2025-12-15
-1.097596094821185,btcusdt,2025-12-15
