symbol,n_sample,trades_per_sec_mean,notional_median,notional_p99,taker_buy_frac
btcusdt,200000,5.227801448101001,272.565,67466.01205400002,0.49063
ethusdt,200000,13.238895876083935,40.39542,26427.752728800104,0.52026
