symbol,side,spread_bps,bid_depth_usd,ask_depth_usd
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.01602966128500895,87961.863,6113.671200000001
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.01522499883998005,184170.64559999996,37110.04749999999
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
btcusdt,sell,0.014443259295619687,295570.19159999996,13293.408
btcusdt,buy,0.014443259295619687,295570.19159999996,13293.408
