symbol,venue,strategy,tau_sec,forecast_kind,split,pnl_all_bps,pnl_kept_bps,pnl_filtered_bps,score_bps,winrate_kept,winrate_all,maxdd_kept_bps,turnover_kept_usd_day,turnover_all_usd_day,n_trades,n_kept,n_filtered,kept_frac,meets_turnover_constraint,n_days
btcusdt,binance,baseline,30,baseline,train_50_test_50,-0.1733234109818161,-0.1733234109818161,,0.0,0.4960230522799568,,1.17086808350123,12164231923.671318,12164231923.671318,49647497,49647497,0,1.0,True,9.999651631944444
btcusdt,binance,baseline,120,baseline,train_50_test_50,-0.13978164499089,-0.13978164499089,,0.0,0.4995084439929402,,0.7770315317917935,12165161652.559343,12165161652.559343,49645411,49645411,0,1.0,True,9.998607546296295
btcusdt,binance,baseline,300,baseline,train_50_test_50,-0.0281482804217821,-0.0281482804217821,,0.0,0.5013395444944395,,0.438291795977678,12167090576.04731,12167090576.04731,49642248,49642248,0,1.0,True,9.996523587962963
btcusdt,binance,kalman_30s,30,kalman,train_50_test_50,-0.1733234109818161,-0.2590608786512778,-0.1016880425130999,-0.0857374676694616,0.4820952451312884,,3.0484531177534886,5537100667.271517,12164231923.671318,49647497,23173174,26474323,0.4667541245835616,True,9.999651631944444
btcusdt,binance,kalman_30s,120,kalman,train_50_test_50,-0.13978164499089,-0.4189512808502341,0.0934730418794687,-0.279169635859344,0.4812874067701882,,4.825986642433534,5537561052.682138,12165161652.559343,49645411,23172443,26472968,0.4667590122277364,True,9.998607546296295
btcusdt,binance,kalman_30s,300,kalman,train_50_test_50,-0.0281482804217821,-1.254566014948309,0.996561921096588,-1.2264177345265272,0.4777790916823939,,13.070591723349,5538442145.57561,12167090576.04731,49642248,23170970,26471278,0.4667590798869543,True,9.996523587962963
btcusdt,binance,kalman_300s,30,kalman,train_50_test_50,-0.1733234109818161,-0.3168774746374925,-0.0467281713738781,-0.1435540636556764,0.4808419714988795,,3.3418249889814606,5700306594.983206,12164231923.671318,49647497,24089509,25557988,0.4852109462839586,True,9.999651631944444
btcusdt,binance,kalman_300s,120,kalman,train_50_test_50,-0.13978164499089,-0.4585150793712046,0.1412957866383041,-0.3187334343803146,0.4713032398803891,,5.081984708588523,5700717653.5563755,12165161652.559343,49645411,24088451,25556960,0.4852100227350318,True,9.998607546296295
btcusdt,binance,kalman_300s,300,kalman,train_50_test_50,-0.0281482804217821,-0.9172177655635676,0.7559009842552984,-0.8890694851417854,0.476032785696929,,10.364669554850002,5701686398.793928,12167090576.04731,49642248,24086967,25555281,0.485211044431348,True,9.996523587962963
btcusdt,binance,lgbm_nk_30s,30,lgbm_nk,train_50_test_50,-0.1733234109818161,-0.1080671518386934,-0.2364756943703355,0.0652562591431226,0.5014242202523398,,1.0328507899949773,5982460407.243289,12164231923.671318,49647497,20498234,29149263,0.4128754768845648,True,9.999651631944444
