symbol,strategy,score_bps,pnl_kept_bps,pnl_all_bps,winrate_kept,n_kept,kept_frac,turnover_kept_usd_day,meets_turnover_constraint
btcusdt,kalman_30s,3.107549225484199,51.13330894445928,48.02575971897508,0.9974945192608832,3193,0.1234916460396039,2034947.4855356128,True
btcusdt,lgbm_nk_30s,0.7677649357204004,48.79352465469548,48.02575971897508,0.9803846448548004,13051,0.5047571163366337,8334860.615305153,True
btcusdt,ensemble_30s,0.7677649357204004,48.79352465469548,48.02575971897508,0.9803846448548004,13051,0.5047571163366337,8334860.615305153,True
btcusdt,lgbm_full_30s,0.6161358685316571,48.64189558750674,48.02575971897508,0.9804555680539933,14224,0.5501237623762376,9002202.326288482,True
btcusdt,baseline,0.0,48.02575971897508,48.02575971897508,0.981358292079208,25856,1.0,16293678.011005811,True
btcusdt,lgbm_nk_300s,-1.0173227858034224,47.00843693317166,48.02575971897508,0.973927818139208,17068,0.6601175742574258,10369555.432482963,True
btcusdt,kalman_300s,-3.508371962102771,44.51738775687231,48.02575971897508,0.9633442129048456,3983,0.1540454826732673,2382275.050788888,True
ethusdt,kalman_30s,0.9352566000780556,46.32930878536018,45.39405218528213,0.9431865392604902,9628,0.0924409282497863,1124631.3145791558,True
ethusdt,lgbm_nk_30s,0.260214718096563,45.65426690337869,45.39405218528213,0.9160015107641948,79430,0.7626280568010523,10504564.861203523,True
ethusdt,ensemble_30s,0.260214718096563,45.65426690337869,45.39405218528213,0.9160015107641948,79430,0.7626280568010523,10504564.861203523,True
ethusdt,baseline,0.0,45.39405218528213,45.39405218528213,0.918005242287788,104153,1.0,13783882.42456738,True
ethusdt,kalman_300s,-0.0615115029146196,45.33254068236751,45.39405218528213,0.9188273993808048,10336,0.099238620106958,1319530.2682993838,True
ethusdt,lgbm_full_30s,-0.0883665697807316,45.30568561550139,45.39405218528213,0.9137823081546784,79856,0.7667181934269777,10510217.926049432,True
ethusdt,lgbm_nk_300s,-0.5617005014193666,44.83235168386276,45.39405218528213,0.9235782247903724,69051,0.6629765825276276,9207830.576860243,True
